Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Lincoln;Karen Lee;8;Lincolnshire;73111;21795;23333;1284;1287;583;0;0;436
Liverpool Riverside;Louise Ellman;4;Merseyside;76332;4652;40599;1187;0;1582;0;0;0
Liverpool Walton;Dan Carden;4;Merseyside;62738;3624;36175;638;0;523;0;1237;0
Liverpool Wavertree;Luciana Berger;4;Merseyside;62411;5251;34717;2858;0;598;0;0;216
Liverpool West Derby;Stephen Twigg;4;Merseyside;65164;4463;37371;545;0;329;0;2150;305
Loughborough;Nicky Morgan;8;Leicestershire;79607;27022;22753;1937;1465;971;0;0;0
Louth and Horncastle;Victoria Atkins;8;Lincolnshire;79006;33733;14092;1990;2460;0;0;0;496
Ludlow;Philip Dunne;7;Shropshire;68034;31433;12147;5336;0;1054;0;0;0
Luton North;Kelvin Hopkins;9;Bedfordshire;66811;15401;29765;808;0;648;0;0;0
Luton South;Gavin Shuker;9;Bedfordshire;67188;14879;28804;1056;795;439;0;0;160
Macclesfield;David Rutley;4;Cheshire;75228;28595;19987;3350;0;1213;0;0;1162
Maidenhead;Theresa May;12;Berkshire;76276;37718;11261;6540;871;907;0;282;660
Maidstone and The Weald;Helen Grant;12;Kent;75334;29136;11432;8455;1613;888;0;0;172
Makerfield;Yvonne Fovargue;4;Western Manchester;74259;14703;28245;1322;0;0;0;2663;0
Maldon;John Whittingdale;9;Essex;66960;34111;10681;2181;1899;1073;0;0;257
Manchester Central;Lucy Powell;4;Central Manchester;90261;7045;38490;1678;1469;846;0;0;192
Manchester Gorton;Mohammed Khan;4;Central Manchester;75362;3355;35085;2597;952;1038;0;2615;311
Manchester Withington;Jeff Smith;4;Central Manchester;74553;5530;38424;8549;0;865;0;0;234
Mansfield;Ben Bradley;8;Nottinghamshire;77811;23392;22335;697;2654;0;0;1079;0
Meon Valley;George Hollingbery;12;Hampshire;74246;35624;9932;5900;1435;1301;0;0;0
Meriden;Caroline Spelman;7;Coventry and Solihull;81437;33873;14675;2663;2016;1416;0;0;0
Middlesbrough;Andy McDonald;3;Teesside;61114;9531;23404;368;1452;250;0;632;0
Middlesbrough South and Cleveland East;Simon Clarke;3;Teesside;72336;23643;22623;1354;0;0;0;0;0
Milton Keynes North;Mark Lancaster;12;Buckinghamshire;89272;30307;28392;2499;1390;1107;0;0;169
Milton Keynes South;Iain Stewart;12;Buckinghamshire;92494;30652;28927;1895;1833;1179;0;0;0
Mitcham and Morden;Siobhain McDonagh;11;Merton;68705;11664;33039;1494;1054;644;0;0;223
Mole Valley;Paul Beresford;12;Surrey;74545;35092;7864;10955;1352;1463;0;0;0
Morecambe and Lunesdale;David Morris;4;Lancashire;66838;21773;20374;1699;1333;478;0;0;0
Morley and Outwood;Andrea Jenkyns;5;West Yorkshire;76495;26550;24446;1361;0;0;0;0;0
New Forest East;Julian Lewis;12;Hampshire;72602;32162;10167;7786;0;1251;0;0;0
New Forest West;Desmond Swayne;12;Hampshire;68787;33170;9739;4781;0;1454;0;0;483
Newark;Robert Jenrick;8;Nottinghamshire;75526;34493;16344;2786;1419;0;0;0;0
Newbury;Richard Benyon;12;Berkshire;82923;37399;8596;13019;0;1531;0;0;304
Newcastle upon Tyne Central;Chi Onwurah;3;Newcastle area;55571;9134;24071;1812;1482;595;0;0;0
Newcastle upon Tyne East;Nicholas Brown;3;Newcastle area;62333;8866;28127;2574;1315;755;0;0;0
Newcastle upon Tyne North;Catherine McKinnell;3;Newcastle area;66312;16380;26729;2533;1780;513;0;0;353
Newcastle-under-Lyme;Paul Farrelly;7;Staffordshire;65540;21094;21124;1624;0;0;0;0;0
Newton Abbot;Anne Marie Morris;10;Devon;71722;28635;11475;10601;0;926;0;0;0
Norfolk Mid;George Freeman;9;Norfolk;80026;32828;16742;2848;2092;1158;0;0;0
Norfolk North;Norman Lamb;9;Norfolk;69263;21748;5180;25260;0;0;0;0;0
Norfolk North West;Henry Bellingham;9;Norfolk;72062;29408;15620;1393;1539;851;0;0;0
Norfolk South;Richard Bacon;9;Norfolk;83056;35580;18902;5074;0;1555;0;0;0
Norfolk South West;Elizabeth Truss;9;Norfolk;77874;32894;14582;2365;2575;0;0;0;0
Normanton, Pontefract and Castleford;Yvette Cooper;5;West Yorkshire;81641;14769;29268;693;3030;0;0;1431;0
Northampton North;Michael Ellis;8;Northamptonshire;58183;19065;18258;1015;1404;636;0;0;0
Northampton South;Andrew Lewer;8;Northamptonshire;60993;19231;18072;1405;1630;696;0;0;0
Northamptonshire South;Andrea Leadsom;8;Northamptonshire;85756;40599;17759;3623;1363;1357;0;0;297
Norwich North;Chloe Smith;9;Norfolk;66924;21900;21393;1480;0;782;0;0;340
Norwich South;Clive Lewis;9;Norfolk;74182;15715;31311;2841;0;1492;0;0;0
Nottingham East;Chris Leslie;8;Nottinghamshire;61762;8512;28102;1003;817;698;0;0;195
Nottingham North;Alex Norris;8;Nottinghamshire;66894;11907;23067;674;2133;538;0;0;0
Nottingham South;Lilian Greenwood;8;Nottinghamshire;71178;14851;30013;1564;1103;598;0;0;0
Nuneaton;Marcus Jones;7;Warwickshire;69201;23755;19016;914;1619;763;0;0;0
Old Bexley and Sidcup;James Brokenshire;11;Bexley;66005;29545;14079;1572;1619;820;0;0;407
Oldham East and Saddleworth;Debbie Abrahams;4;Eastern Manchester;72223;17447;25629;1683;2278;0;0;0;0
Oldham West and Royton;Jim McMahon;4;Eastern Manchester;72418;12648;29846;956;1899;439;0;0;0
Orpington;Jo Johnson;11;Bromley;67906;31762;12301;3315;2023;1060;0;0;0
Oxford East;Anneliese Dodds;12;Oxfordshire;78360;11834;35118;4904;0;1785;0;0;255
Oxford West and Abingdon;Layla Moran;12;Oxfordshire;79289;25440;7573;26256;751;0;0;0;0
Pendle;Andrew Stephenson;4;Lancashire;64963;21986;20707;941;0;502;0;718;0
Penistone and Stocksbridge;Angela Smith;5;South Yorkshire;71293;21485;22807;2042;3453;0;0;0;0
Penrith and The Border;Rory Stewart;4;Cumbria;65139;28078;12168;3641;1142;1029;0;0;412
Peterborough;Fiona Onasanya;9;Cambridgeshire;71522;22343;22950;1597;0;848;0;0;0
Plymouth Moor View;Johnny Mercer;10;Devon;69342;23567;18548;917;1849;536;0;0;0
Plymouth Sutton and Devonport;Luke Pollard;10;Devon;76584;20476;27283;1244;1364;604;0;0;237
Poole;Robert Syms;10;Dorset;73811;28888;14679;4433;0;1299;0;0;551
Poplar and Limehouse;Jim Fitzpatrick;11;Tower Hamlets;87274;11846;39558;3959;849;989;0;1477;136
Portsmouth North;Penny Mordaunt;12;Hampshire;71374;25860;15895;2608;1926;791;0;0;130
Portsmouth South;Stephen Morgan;12;Hampshire;69785;16736;18290;7699;1129;712;0;0;0
Preston;Mark Hendrick;4;Lancashire;57791;8487;24210;1204;1348;348;0;0;0
Pudsey;Stuart Andrew;5;West Yorkshire;72622;25550;25219;1761;0;0;0;1138;291
Putney;Justine Greening;11;Wandsworth;65026;20679;19125;5448;477;1107;0;0;58
Rayleigh and Wickford;Mark Francois;9;Essex;78556;36914;13464;1557;2326;1062;0;0;0
Reading East;Matt Rodda;12;Berkshire;75522;23344;27093;3378;0;1093;0;0;330
Reading West;Alok Sharma;12;Berkshire;74518;25311;22435;3041;0;979;0;0;0
Redcar;Anna Turley;3;Teesside;66836;14138;23623;2849;1950;0;0;0;0
Redditch;Rachel Maclean;7;Hereford and Worcestershire;64334;23652;16289;1173;1371;380;0;2239;99
Reigate;Crispin Blunt;12;Surrey;74628;30896;13282;5889;1542;2214;0;0;0
Ribble South;Seema Kennedy;4;Lancashire;75752;28980;21559;2073;1387;494;0;0;341
Ribble Valley;Nigel Evans;4;Lancashire;77968;31919;18720;3247;0;1314;0;0;0
Richmond;Rishi Sunak;5;North Yorkshire;80920;36458;13350;3360;0;1739;0;2106;0
Richmond Park;Zac Goldsmith;11;Richmond Upon Thames;80025;28588;5773;28543;426;0;0;0;0
Rochdale;Tony Lloyd;4;Eastern Manchester;78064;14216;29035;4027;1641;0;0;883;242
Rochester and Strood;Kelly Tolhurst;12;Kent;82702;29232;19382;1189;2893;781;0;0;292
Rochford and Southend East;James Duddridge;9;Essex;73501;23013;17465;1265;1777;804;0;2924;0
Romford;Andrew Rosindell;11;Havering;73516;29671;15893;1215;2350;815;0;0;0
Romsey and Southampton North;Caroline Nokes;12;Hampshire;67186;28668;9614;10662;0;953;0;0;271
Rossendale and Darwen;Jake Berry;4;Lancashire;72495;25499;22283;1550;0;824;0;0;0
Rother Valley;Kevin Barron;5;South Yorkshire;75230;19939;23821;1155;3704;869;0;0;0
Rotherham;Sarah Champion;5;South Yorkshire;63237;10017;21404;1754;3316;0;0;1432;0
Rugby;Mark Pawsey;7;Warwickshire;72175;27872;19660;2851;0;953;0;0;0
Ruislip, Northwood and Pinner;Nick Hurd;11;Hillingdon;73425;30555;16575;3813;1171;1268;0;0;0
Runnymede and Weybridge;Philip Hammond;12;Surrey;74887;31436;13386;3765;1675;1347;0;0;0
Rushcliffe;Kenneth Clarke;8;Nottinghamshire;74740;30223;22213;2759;1490;1626;0;0;0
Rutland and Melton;Alan Duncan;8;Leicestershire;78463;36169;13065;4711;1869;1755;0;0;0
Saffron Walden;Kemi Badenoch;9;Essex;83690;37629;12663;8528;2091;0;0;0;0
Salford and Eccles;Rebecca Long-Bailey;4;Central Manchester;78082;12036;31168;1286;2320;809;0;0;0
Salisbury;John Glen;10;Wiltshire;72892;30952;13619;5982;1191;1152;0;0;415
Scarborough and Whitby;Robert Goodwill;5;North Yorkshire;73593;24401;20966;1354;1682;915;0;680;451
Scunthorpe;Nic Dakin;5;Humber area;61578;17485;20916;554;1247;0;0;0;0
Sedgefield;Phil Wilson;3;Durham;63890;16143;22202;797;1763;686;0;0;0
Sefton Central;Bill Esterson;4;Merseyside;69019;17212;32830;1381;0;656;0;0;0
Selby and Ainsty;Nigel Adams;5;North Yorkshire;75765;32921;19149;2293;1713;0;0;0;0
Sevenoaks;Michael Fallon;12;Kent;71061;32644;10727;4280;1894;1673;0;0;0
Sheffield Brightside and Hillsborough;Gill Furniss;5;South Yorkshire;70344;9050;28193;1061;2645;737;0;0;184
Sheffield Central;Paul Blomfield;5;South Yorkshire;77560;6215;33963;2465;1060;3848;0;0;326
Sheffield Hallam;Jared O Mara;5;South Yorkshire;73455;13561;21881;19756;929;823;0;0;70
Sheffield Heeley;Louise Haigh;5;South Yorkshire;68040;12696;26524;2022;1977;943;0;0;64
Sheffield South East;Clive Betts;5;South Yorkshire;68945;13722;25520;1432;2820;0;0;0;102
Sherwood;Mark Spencer;8;Nottinghamshire;76196;27492;22294;1113;1801;664;0;0;0
Shipley;Philip Davies;5;West Yorkshire;73133;27417;22736;2202;0;0;0;1040;0
Shrewsbury and Atcham;Daniel Kawczynski;7;Shropshire;79043;29073;22446;4254;1363;1067;0;0;0
Shropshire North;Owen Paterson;7;Shropshire;80535;33642;17287;2948;0;1722;0;0;0
Sittingbourne and Sheppey;Gordon Henderson;12;Kent;81715;30911;15700;1392;0;558;0;2133;695
Skipton and Ripon;Julian Smith;5;North Yorkshire;78108;36425;16440;0;0;3734;0;1539;0
Sleaford and North Hykeham;Caroline Johnson;8;Lincolnshire;90925;42245;17008;2722;1954;968;0;0;900
Slough;Tan Dhesi;12;Berkshire;83272;17172;34170;1308;1228;0;0;0;417
Solihull;Julian Knight;7;Coventry and Solihull;77784;32985;12414;8901;1291;1157;0;0;0
Somerset North;Liam Fox;10;Bristol area;80538;33605;16502;5982;0;1976;0;3929;0
Somerset North East;Jacob Rees-Mogg;10;Bristol area;71350;28992;18757;4461;0;1245;0;0;588
Somerton and Frome;David Warburton;10;Somerset;84435;36231;10998;13325;0;2047;0;0;991
South Holland and The Deepings;John Hayes;8;Lincolnshire;76381;35179;10282;1433;2185;894;0;0;342
South Shields;Emma Lewell-Buck;3;Newcastle area;63449;10570;25078;681;3006;1437;0;0;0
Southampton Itchen;Royston Smith;12;Hampshire;71716;21773;21742;1421;1122;725;0;0;0
Southampton Test;Alan Whitehead;12;Hampshire;70194;16006;27509;1892;0;0;0;816;680
Southend West;David Amess;9;Essex;67677;26046;16046;2110;1666;831;0;0;492
Southport;Damien Moore;4;Merseyside;69400;18541;15627;12661;1127;0;0;0;0
Spelthorne;Kwasi Kwarteng;12;Surrey;72641;28692;15267;2755;2296;1105;0;0;0
St Albans;Anne Main;9;Hertfordshire;72811;24571;13137;18462;0;828;0;0;0
St Austell and Newquay;Steve Double;10;Cornwall;78618;26856;15714;11642;0;0;0;0;0
St Helens North;Conor McGinn;4;Merseyside;76088;13606;32012;1287;2097;1220;0;0;0
St Helens South and Whiston;Marie Rimmer;4;Merseyside;79036;11536;35879;2101;1953;1417;0;0;0
St Ives;Derek Thomas;10;Cornwall;67462;22120;7298;21808;0;0;0;0;0
Stafford;Jeremy Lefroy;7;Staffordshire;68445;28424;20695;1540;0;1265;0;0;0
Staffordshire Moorlands;Karen Bradley;7;Staffordshire;66009;25963;15133;1494;0;541;0;1524;0
Staffordshire South;Gavin Williamson;7;Staffordshire;73453;35656;12923;1348;0;1182;0;0;0
Stalybridge and Hyde;Jonathan Reynolds;4;Eastern Manchester;71409;16193;24277;996;0;991;0;0;0
Stevenage;Stephen McPartland;9;Hertfordshire;70765;24798;21414;2032;0;1085;0;0;0
Stockport;Ann Coffey;4;Eastern Manchester;63425;11805;26282;1778;1088;591;0;0;0
Stockton North;Alex Cunningham;3;Teesside;66279;15589;24304;646;1834;358;0;0;0
Stockton South;Paul Williams;3;Teesside;75619;25214;26102;951;1186;371;0;0;0
Stoke-on-Trent Central;Gareth Snell;7;Staffordshire;58196;13186;17083;680;1608;378;0;0;210
Stoke-on-Trent North;Ruth Smeeth;7;Staffordshire;72368;18913;21272;916;0;685;0;0;0
Stoke-on-Trent South;Jack Brereton;7;Staffordshire;66046;20451;19788;808;0;643;0;0;0
Stone;Bill Cash;7;Staffordshire;67824;31614;14119;2222;1370;707;0;0;0
Stourbridge;Margot James;7;Black Country;70215;25706;18052;1083;1801;493;0;0;0
Stratford-on-Avon;Nadhim Zahawi;7;Warwickshire;72609;32657;11699;6357;0;1345;0;0;474
Streatham;Chuka Umunna;11;Lambeth;78532;11927;38212;3611;349;1696;0;0;0
Stretford and Urmston;Kate Green;4;Central Manchester;71840;13814;33519;1001;1094;641;0;0;122
Stroud;David Drew;10;Gloucestershire;82849;29307;29994;2053;1039;1423;0;0;0
Suffolk Central and Ipswich North;Dan Poulter;9;Suffolk;78116;33992;16807;2431;1635;1659;0;0;0
Suffolk Coastal;Therese Coffey;9;Suffolk;79366;33713;17701;4048;0;1802;0;0;810
Suffolk South;James Cartlidge;9;Suffolk;75967;32829;15080;3154;1449;1723;0;0;0
Suffolk West;Matt Hancock;9;Suffolk;76984;31649;14586;2180;2396;935;0;0;0
Sunderland Central;Julie Elliott;3;Newcastle area;72728;15059;25056;1777;2209;705;0;0;305
Surrey East;Sam Gyimah;12;Surrey;82004;35310;11396;6197;2227;1100;0;2973;0
Surrey Heath;Michael Gove;12;Surrey;80537;37118;12175;6271;0;2258;0;0;0
Surrey South West;Jeremy Hunt;12;Surrey;78042;33683;7606;5967;1083;0;0;12093;0
Sussex Mid;Nicholas Soames;12;West Sussex;83747;35082;15409;7855;1251;1571;0;0;464
Sutton and Cheam;Paul Scully;11;Sutton;70404;26567;10663;13869;0;871;0;0;0
Sutton Coldfield;Andrew Mitchell;7;Birmingham;75652;32224;16885;2302;0;965;0;0;482
Swindon North;Justin Tomlinson;10;Wiltshire;80194;29431;21096;1962;1564;858;0;0;0
Swindon South;Robert Buckland;10;Wiltshire;72391;24809;22345;2079;1291;747;0;0;0
Tamworth;Christopher Pincher;7;Staffordshire;71319;28748;16401;1961;0;0;0;0;0
Tatton;Esther McVey;4;Cheshire;67874;28764;13977;4431;0;1024;0;0;920
Taunton Deane;Rebecca Pow;10;Somerset;85466;33333;9689;17446;1434;1151;0;0;0
Telford;Lucy Allan;7;Shropshire;68164;21777;21057;954;0;898;0;0;0
Tewkesbury;Laurence Robertson;10;Gloucestershire;81442;35448;12874;7981;1205;1576;0;0;0
Thanet North;Roger Gale;12;Kent;72657;27163;16425;1586;2198;825;0;0;128
Thanet South;Craig Mackinlay;12;Kent;72342;25262;18875;1514;2997;809;0;0;296
Thirsk and Malton;Kevin Hollinrake;5;North Yorkshire;78670;33572;14571;3859;1532;1100;0;753;542
Thornbury and Yate;Luke Hall;10;Bristol area;67927;28008;6112;15937;0;633;0;0;0
Thurrock;Jackie Doyle-Price;9;Essex;78153;19880;19535;798;10112;0;0;0;0
Tiverton and Honiton;Neil Parish;10;Devon;80731;35471;15670;4639;0;2035;0;0;0
Tonbridge and Malling;Tom Tugendhat;12;Kent;77234;36218;12710;3787;1857;2335;0;0;0
Tooting;Rosena Allin-Khan;11;Wandsworth;77960;19236;34694;3057;339;845;0;0;0
Torbay;Kevin Foster;10;Devon;75936;27141;9310;12858;1213;652;0;0;0
Totnes;Sarah Wollaston;10;Devon;68913;26972;13495;6466;1240;2097;0;0;0
Tottenham;David Lammy;11;Haringey;72883;5665;40249;1687;462;1276;0;0;0
Truro and Falmouth;Sarah Newton;10;Cornwall;74691;25123;21331;8465;897;831;0;0;0
Tunbridge Wells;Greg Clark;12;Kent;75138;30856;14391;5355;1464;1441;0;0;702
Twickenham;Vince Cable;11;Richmond Upon Thames;83362;25207;6114;34969;0;0;0;0;0
Tynemouth;Alan Campbell;3;Newcastle area;77434;20729;32395;1724;1257;629;0;0;124
Tyneside North;Mary Glindon;3;Newcastle area;78914;14172;33456;1494;2101;669;0;0;0
Uxbridge and South Ruislip;Boris Johnson;11;Hillingdon;69938;23716;18682;1835;1577;884;0;0;0
Vauxhall;Kate Hoey;11;Lambeth;81907;10277;31576;11326;0;1152;0;0;711
Wakefield;Mary Creagh;5;West Yorkshire;70340;20811;22987;943;0;0;0;1176;367
Wallasey;Angela Eagle;4;Merseyside;67454;11232;34552;772;1160;637;0;0;0
Walsall North;Eddie Hughes;7;Black Country;67309;18919;16318;586;2295;0;0;0;0
Walsall South;Valerie Vaz;7;Black Country;67417;16394;25286;587;1805;0;0;0;0
Walthamstow;Stella Creasy;11;Waltham Forest;68144;6776;38793;1384;0;1190;0;0;0
Wansbeck;Ian Lavery;3;Northumberland;62099;13903;24338;2015;1483;715;0;0;0
Wantage;Ed Vaizey;12;Oxfordshire;87735;34459;17079;9234;1284;1546;0;0;0
Warley;John Spellar;7;Black Country;63724;10521;27004;777;1349;555;0;0;0
Warrington North;Helen Jones;4;Cheshire;72015;17774;27356;1207;1561;619;0;0;0
Warrington South;Faisal Rashid;4;Cheshire;85755;27445;29994;3339;0;0;0;0;1217
Warwick and Leamington;Matt Western;7;Warwickshire;74237;24021;25227;2810;799;1198;0;0;0
Warwickshire North;Craig Tracey;7;Warwickshire;72277;26860;18350;1028;0;940;0;0;0
Washington and Sunderland West;Sharon Hodgson;3;Newcastle area;67280;11699;24639;961;2761;514;0;0;0
Watford;Richard Harrington;9;Hertfordshire;86507;26731;24639;5335;1184;721;0;0;0
Waveney;Peter Aldous;9;Suffolk;80784;28643;19428;1012;1933;1332;0;0;326
Wealden;Nus Ghani;12;East Sussex;81425;37027;13399;6281;1798;1959;0;0;0
Weaver Vale;Mike Amesbury;4;Cheshire;69016;22138;26066;1623;0;786;0;0;0
Wellingborough;Peter Bone;8;Northamptonshire;79258;30579;18119;1782;1804;956;0;0;0
Wells;James Heappey;10;Somerset;82449;30488;7129;22906;0;0;0;0;320
Welwyn Hatfield;Grant Shapps;9;Hertfordshire;72888;26374;19005;3836;1441;835;0;0;178
Wentworth and Dearne;John Healey;5;South Yorkshire;74890;13744;28547;1656;0;0;0;0;0
West Bromwich East;Tom Watson;7;Black Country;63833;14951;22664;625;0;533;0;0;325
West Bromwich West;Adrian Bailey;7;Black Country;65956;14329;18789;333;2320;323;0;0;0
West Ham;Lyn Brown;11;Newham;92243;9837;46591;1836;1134;957;0;0;353
Westminster North;Karen Buck;11;City of Westminster;63846;14422;25934;2253;0;595;0;0;91
Westmorland and Lonsdale;Tim Farron;4;Cumbria;66391;22909;4783;23686;0;0;0;0;309
Weston-Super-Mare;John Penrose;10;Bristol area;82160;29982;18438;5175;1932;888;0;0;0
Wigan;Lisa Nandy;4;Western Manchester;75359;13548;29575;916;2750;753;0;0;0
Wiltshire North;James Gray;10;Wiltshire;71408;32398;9399;9521;871;1141;0;0;376
Wiltshire South West;Andrew Murrison;10;Wiltshire;76898;32841;14515;5360;0;1445;0;0;590
Wimbledon;Stephen Hammond;11;Merton;66771;23946;18324;7472;553;1231;0;0;0
Winchester;Steve Brine;12;Hampshire;72497;29729;6007;19730;695;846;0;0;149
Windsor;Adam Afriyie;12;Berkshire;73595;34718;12334;5434;0;1435;0;0;0
Wirral South;Alison McGovern;4;Merseyside;57670;17548;25871;1322;0;454;0;0;0
Wirral West;Margaret Greenwood;4;Merseyside;55995;18501;23866;1155;0;429;0;0;0
Witham;Priti Patel;9;Essex;69137;31670;13024;2715;0;1832;0;0;0
Witney;Robert Courts;12;Oxfordshire;82727;33839;12598;12457;980;1053;0;0;0
Woking;Jonathan Lord;12;Surrey;76170;29903;13179;9711;1161;1092;0;0;200
Wokingham;John Redwood;12;Berkshire;79879;33806;15008;9512;0;1364;0;0;0
Wolverhampton North East;Emma Reynolds;7;Black Country;60799;14695;19282;570;1479;482;0;0;0
Wolverhampton South East;Pat McFadden;7;Black Country;69951;12623;21137;448;1675;421;0;0;0
Wolverhampton South West;Eleanor Smith;7;Black Country;60003;18714;20899;784;1012;579;0;0;358
Worcester;Robin Walker;7;Hereford and Worcestershire;72815;24731;22223;1757;1354;1211;0;0;147
Worcestershire Mid;Nigel Huddleston;7;Hereford and Worcestershire;76065;35967;12641;3450;1660;1371;0;0;0
Worcestershire West;Harriett Baldwin;7;Hereford and Worcestershire;74385;34703;13375;5307;1481;1605;0;0;0
Workington;Sue Hayman;4;Cumbria;60256;17392;21317;1133;1556;0;0;0;278
Worsley and Eccles South;Barbara Keeley;4;Central Manchester;73692;17667;26046;1087;0;842;0;0;0
Worthing East and Shoreham;Tim Loughton;12;West Sussex;75543;25988;20882;2523;1444;1273;0;575;432
Worthing West;Peter Bottomley;12;West Sussex;77777;30181;18091;2982;1635;1614;0;0;0
Wrekin, The;Mark Pritchard;7;Shropshire;68642;27451;17887;1345;1656;804;0;0;380
Wycombe;Steve Baker;12;Buckinghamshire;77089;26766;20188;4147;1210;1182;0;0;0
Wyre and Preston North;Ben Wallace;4;Lancashire;72319;30684;18438;2551;0;973;0;0;0
Wyre Forest;Mark Garnier;7;Hereford and Worcestershire;77734;29859;16525;1943;1777;1025;0;0;0
Wythenshawe and Sale East;Mike Kane;4;Central Manchester;76361;13581;28525;1504;1475;576;0;0;185
Yeovil;Marcus Fysh;10;Somerset;82911;32369;7418;17646;0;1052;0;0;919
York Central;Rachael Maskell;5;North Yorkshire;77315;16019;34594;2475;0;0;0;0;0
York Outer;Julian Sturdy;5;North Yorkshire;75856;29356;21067;5910;0;1094;0;0;0
Yorkshire East;Greg Knight;5;Humber area;81065;31442;16436;2134;1986;943;0;1015;0
Aberavon;Stephen Kinnock;6;West Glamorgan;49891;5901;22662;599;1345;0;2761;0;0
Aberconwy;Guto Bebb;6;Clwyd;45251;14337;13702;941;0;0;3170;0;0
Alyn and Deeside;Mark Tami;6;Clwyd;63041;18080;23315;1077;1117;0;1171;0;0
Arfon;Hywel Williams;6;Gwynedd;41367;4614;11427;648;0;0;11519;0;0
Blaenau Gwent;Nick Smith;6;Gwent;51227;4783;18787;295;973;0;6880;666;0
Brecon and Radnorshire;Chris Davies;6;Powys;56010;20081;7335;12043;576;0;1299;0;0
Bridgend;Madeleine Moon;6;Mid Glamorgan;62185;17213;21913;919;781;0;1783;0;646
Caerphilly;Wayne David;6;Gwent;64381;10413;22491;725;1259;447;5962;0;0
Cardiff Central;Jo Stevens;6;South Glamorgan;59288;7997;25193;5415;343;420;999;0;0
Cardiff North;Anna McMorrin;6;South Glamorgan;67221;21907;26081;1714;582;0;1738;0;0
Cardiff South and Penarth;Stephen Doughty;6;South Glamorgan;76499;15318;30182;1430;942;532;2162;0;170
Cardiff West;Kevin Brennan;6;South Glamorgan;67221;13874;26425;1214;698;0;4418;0;0
Carmarthen East and Dinefwr;Jonathan Edwards;6;Dyfed;55976;10778;12219;920;985;0;16127;0;0
Carmarthen West and Pembrokeshire South;Simon Hart;6;Dyfed;58548;19771;16661;956;905;0;3933;0;0
Ceredigion;Ben Lake;6;Dyfed;52889;7307;8017;11519;602;542;11623;0;157
Clwyd South;Susan Elan Jones;6;Clwyd;54341;14646;19002;731;802;0;2293;0;0
Clwyd West;David Jones;6;Clwyd;58263;19541;16104;1091;0;0;3918;0;0
Cynon Valley;Ann Clwyd;6;Mid Glamorgan;51332;6166;19404;585;1271;0;4376;0;0
Delyn;David Hanson;6;Clwyd;54116;16333;20573;1031;0;0;1481;0;0
Dwyfor Meirionnydd;Liz Roberts;6;Gwynedd;44699;8837;6273;937;614;0;13687;0;0
Gower;Tonia Antoniazzi;6;West Glamorgan;62163;19458;22727;931;642;0;1669;0;149
Islwyn;Chris Evans;6;Gwent;56256;9826;21238;685;1605;0;2739;0;0
Llanelli;Nia Griffith;6;Dyfed;59434;9544;21568;548;1331;0;7351;0;0
Merthyr Tydfil and Rhymney;Gerald Jones;6;Mid Glamorgan;55463;6073;22407;841;1484;0;2740;0;0
Monmouth;David Davies;6;Gwent;64909;26411;18205;2064;762;954;1338;0;0
Montgomeryshire;Glyn Davies;6;Powys;50755;18075;5542;8790;0;524;1960;0;0
Neath;Christina Rees;6;West Glamorgan;55859;9082;21713;732;1419;0;5339;0;0
Newport East;Jessica Morden;6;Gwent;57233;12801;20804;966;1180;0;881;0;188
Newport West;Paul Flynn;6;Gwent;64399;17065;22723;976;1100;497;1077;0;0
Ogmore;Chris Elmore;6;Mid Glamorgan;56661;9354;23225;594;1235;0;2796;0;0
Pontypridd;Owen Smith;6;Mid Glamorgan;60566;10655;22103;1963;1071;0;4102;0;0
Preseli Pembrokeshire;Stephen Crabb;6;Dyfed;58540;18302;17988;1106;850;0;2711;1209;31
Rhondda;Chris Bryant;6;Mid Glamorgan;50513;3333;21096;277;880;0;7350;0;0
Swansea East;Carolyn Harris;6;West Glamorgan;58521;9139;22307;625;1040;359;1689;0;0
Swansea West;Geraint Davies;6;West Glamorgan;56892;11680;22278;1269;0;434;1529;0;92
Torfaen;Nick Thomas-Symonds;6;Gwent;61839;11894;22134;852;1490;0;2059;0;0
Vale of Clwyd;Chris Ruane;6;Clwyd;56890;17044;19423;666;0;0;1551;0;0
Vale of Glamorgan;Alun Cairns;6;South Glamorgan;73958;25501;23311;1020;868;419;2295;0;304
Wrexham;Ian Lucas;6;Clwyd;50422;15321;17153;865;0;0;1753;0;0
Ynys Mon;Albert Owen;6;Gwynedd;52448;10384;15643;479;624;0;10237;0;0
Aberdeen North;Kirsty Blackman;2;Grampian;62130;8341;11031;1693;0;0;15170;0;522
Aberdeen South;Ross Thomson;2;Grampian;64964;18746;9143;2600;0;0;13994;0;0
Aberdeenshire West and Kincardine;Andrew Bowie;2;Grampian;72477;24704;5706;4461;0;0;16754;0;0
Airdrie and Shotts;Neil Gray;2;Glasgow area;64146;8813;14096;802;0;0;14291;0;0
Angus;Kirstene Hair;2;Tayside;63840;18148;5233;1308;0;0;15503;0;0
Argyll and Bute;Brendan O'Hara;2;Argyll and Bute;67230;15976;6044;8745;0;0;17304;0;0
Ayr Carrick and Cumnock;Bill Grant;2;Ayrshire and Lanark;71241;18550;11024;872;0;0;15776;0;0
